strategy,mean,ci95,std,mean_abs,mean_cost,min,max
PPO,-0.026647864494466864,0.09860600948730236,1.5909162293879975,1.2888115428461957,0.0,-6.101303284096453,3.865365743345407
BS Delta,-0.0222726616588681,0.03867633364385227,0.6240066625467996,0.4675610576549287,0.0,-2.6749397373947232,2.3126528989606783
Paired diff,-0.0043752028355987845,0.08944725957467348,1.44314831998098,,,,
