strategy,mean,ci95,std,mean_abs,mean_cost,min,max
PPO,-1.0135237174363994,0.5130297899202644,8.277258386049636,6.779604654282061,0.7963353427965199,-36.196161202944445,10.70625628507433
BS Delta,-1.8346016560765768,0.05298740474320038,0.8549024810700131,1.8349605379693148,1.8023288329748068,-5.288479275102273,0.08440644558852095
Paired diff,0.8210779386401773,0.5095169972495774,8.220582744277614,,,,
